LOGIN_FAILED - IP: 192.168.5.152, User: 2307, Details: Role: siswa
REGISTRATION_SUCCESS - IP: 192.168.5.152, User: test123, Details: New user
LOGIN_SUCCESS - IP: 192.168.5.152, User: test123, Details: Role: siswa
REGISTRATION_SUCCESS - IP: 192.168.5.152, User: 03082008, Details: New user
LOGIN_SUCCESS - IP: 192.168.5.152, User: 03082008, Details: Role: siswa
REGISTRATION_SUCCESS - IP: 127.0.0.1, User: 4332401005, Details: New user
LOGIN_SUCCESS - IP: 127.0.0.1, User: 4332401005, Details: Role: siswa
PENDAFTARAN_SELESAI - IP: 127.0.0.1, User: 4332401005, Details: 
ADMIN_LOGIN_FAILED - IP: 127.0.0.1, User: admin123, Details: Admin login gagal
ADMIN_LOGIN_FAILED - IP: 127.0.0.1, User: ADMIN317, Details: Admin login gagal
ADMIN_LOGIN_FAILED - IP: 127.0.0.1, User: ADMIN317, Details: Admin login gagal
REGISTRATION_SUCCESS - IP: 192.168.5.152, User: 20032008, Details: New user
LOGIN_SUCCESS - IP: 192.168.5.152, User: 20032008, Details: Role: siswa
REGISTRATION_SUCCESS - IP: 192.168.5.152, User: 03012008, Details: New user
LOGIN_SUCCESS - IP: 192.168.5.152, User: 03012008, Details: Role: siswa
ADMIN_LOGIN_FAILED - IP: 127.0.0.1, User: ADMIN317, Details: Admin login gagal
LOGIN_SUCCESS - IP: 127.0.0.1, User: 20032008, Details: Role: siswa
ADMIN_LOGIN_SUCCESS - IP: 127.0.0.1, User: ADMIN412, Details: Admin login
ADMIN_LOGIN_SUCCESS - IP: 127.0.0.1, User: ADMIN412, Details: Admin login
REGISTRATION_SUCCESS - IP: 127.0.0.1, User: 23032000, Details: New user
LOGIN_SUCCESS - IP: 127.0.0.1, User: 23032000, Details: Role: siswa
PENDAFTARAN_SELESAI - IP: 127.0.0.1, User: 23032000, Details: Pendaftaran diselesaikan
ADMIN_LOGIN_SUCCESS - IP: 127.0.0.1, User: ADMIN412, Details: Admin login
LOGIN_SUCCESS - IP: 127.0.0.1, User: 23032000, Details: Role: siswa
REGISTRATION_SUCCESS - IP: 127.0.0.1, User: 03012008, Details: New user
LOGIN_SUCCESS - IP: 127.0.0.1, User: 03012008, Details: Role: siswa
PENDAFTARAN_SELESAI - IP: 127.0.0.1, User: 03012008, Details: Pendaftaran diselesaikan
ADMIN_LOGIN_SUCCESS - IP: 127.0.0.1, User: ADMIN412, Details: Admin login
LOGIN_FAILED - IP: 127.0.0.1, User: 23012008, Details: Role: siswa
LOGIN_SUCCESS - IP: 127.0.0.1, User: 03012008, Details: Role: siswa
REGISTRATION_SUCCESS - IP: 127.0.0.1, User: 14022009, Details: New user
LOGIN_SUCCESS - IP: 127.0.0.1, User: 14022009, Details: Role: siswa
LOGIN_SUCCESS - IP: 127.0.0.1, User: 23032000, Details: Role: siswa
REGISTRATION_SUCCESS - IP: 127.0.0.1, User: 1234567890, Details: New user
LOGIN_SUCCESS - IP: 127.0.0.1, User: 1234567890, Details: Role: siswa
